UDP Prague receiver listening at 0.0.0.0 on port 5005 with max packet size 1400 bytes.
[RECVER]: 7.96 sec, Rcvd: 11.168 Mbps, Sent: 0.208 Mbps, RTT: N/A, Mark: 0.00%(0/1), Lost: 0.00%(0/1)
[RECVER]: 8.23 sec, Rcvd: 0.408 Mbps, Sent: 0.008 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 8.43 sec, Rcvd: 0.410 Mbps, Sent: 0.008 Mbps, RTT: N/A, Mark: 0.00%(0/7), Lost: 0.00%(0/7)
[RECVER]: 8.78 sec, Rcvd: 0.122 Mbps, Sent: 0.002 Mbps, RTT: N/A, Mark: 0.00%(0/8), Lost: 0.00%(0/8)
[RECVER]: 8.99 sec, Rcvd: 0.527 Mbps, Sent: 0.010 Mbps, RTT: N/A, Mark: 0.00%(0/9), Lost: 0.00%(0/9)
[RECVER]: 9.22 sec, Rcvd: 0.560 Mbps, Sent: 0.010 Mbps, RTT: N/A, Mark: 0.00%(0/10), Lost: 0.00%(0/10)
[RECVER]: 9.44 sec, Rcvd: 0.529 Mbps, Sent: 0.010 Mbps, RTT: N/A, Mark: 0.00%(0/10), Lost: 0.00%(0/10)
[RECVER]: 9.64 sec, Rcvd: 0.768 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 9.85 sec, Rcvd: 0.858 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 10.06 sec, Rcvd: 0.582 Mbps, Sent: 0.011 Mbps, RTT: N/A, Mark: 0.00%(0/10), Lost: 0.00%(0/10)
[RECVER]: 10.27 sec, Rcvd: 0.788 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/17), Lost: 0.00%(0/17)
[RECVER]: 10.48 sec, Rcvd: 1.165 Mbps, Sent: 0.022 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 10.68 sec, Rcvd: 0.768 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 10.89 sec, Rcvd: 0.940 Mbps, Sent: 0.018 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 11.09 sec, Rcvd: 0.772 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 11.29 sec, Rcvd: 0.806 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 11.50 sec, Rcvd: 1.221 Mbps, Sent: 0.023 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 11.71 sec, Rcvd: 0.804 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 11.93 sec, Rcvd: 0.682 Mbps, Sent: 0.013 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 12.14 sec, Rcvd: 1.844 Mbps, Sent: 0.034 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 12.35 sec, Rcvd: 0.844 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 12.56 sec, Rcvd: 0.854 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 12.77 sec, Rcvd: 0.804 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 12.98 sec, Rcvd: 0.743 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 13.19 sec, Rcvd: 0.787 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 13.40 sec, Rcvd: 0.829 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 13.60 sec, Rcvd: 0.826 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 13.82 sec, Rcvd: 0.836 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 14.02 sec, Rcvd: 0.780 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 14.24 sec, Rcvd: 0.746 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 14.44 sec, Rcvd: 0.857 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 14.68 sec, Rcvd: 0.312 Mbps, Sent: 0.006 Mbps, RTT: N/A, Mark: 0.00%(0/7), Lost: 0.00%(0/7)
[RECVER]: 14.90 sec, Rcvd: 1.008 Mbps, Sent: 0.019 Mbps, RTT: N/A, Mark: 0.00%(0/27), Lost: 0.00%(0/27)
[RECVER]: 15.11 sec, Rcvd: 0.833 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 15.31 sec, Rcvd: 0.805 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 15.54 sec, Rcvd: 0.586 Mbps, Sent: 0.011 Mbps, RTT: N/A, Mark: 0.00%(0/11), Lost: 0.00%(0/11)
[RECVER]: 15.74 sec, Rcvd: 0.978 Mbps, Sent: 0.018 Mbps, RTT: N/A, Mark: 0.00%(0/18), Lost: 0.00%(0/18)
[RECVER]: 15.97 sec, Rcvd: 0.747 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 16.20 sec, Rcvd: 0.683 Mbps, Sent: 0.013 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 16.41 sec, Rcvd: 0.790 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 16.61 sec, Rcvd: 0.818 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 16.86 sec, Rcvd: 0.566 Mbps, Sent: 0.011 Mbps, RTT: N/A, Mark: 0.00%(0/12), Lost: 0.00%(0/12)
[RECVER]: 17.06 sec, Rcvd: 1.365 Mbps, Sent: 0.025 Mbps, RTT: N/A, Mark: 0.00%(0/20), Lost: 0.00%(0/20)
[RECVER]: 17.27 sec, Rcvd: 0.860 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 17.49 sec, Rcvd: 0.737 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 17.70 sec, Rcvd: 0.815 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 17.92 sec, Rcvd: 0.887 Mbps, Sent: 0.017 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 18.14 sec, Rcvd: 0.697 Mbps, Sent: 0.013 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 18.36 sec, Rcvd: 0.847 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 18.56 sec, Rcvd: 0.831 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 18.79 sec, Rcvd: 0.680 Mbps, Sent: 0.013 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
